year,state,standard,boys,girls
2000,Andhra Pradesh,prim,71.29692906641964,77.93538770725404
2000,Andhra Pradesh,second,66.79317622490194,68.26516350116975
2000,Andhra Pradesh,tech,54.037486963051116,53.284561147154044
2000,Arunachal Pradesh,prim,78.24783518133263,79.60696200619208
2000,Arunachal Pradesh,second,61.89317190650275,64.49127537963786
2000,Arunachal Pradesh,tech,54.32896537289175,54.88656729934391
2000,Assam,prim,75.10983174959192,74.73429650473203
2000,Assam,second,62.4417643306484,61.349957156619226
2000,Assam,tech,51.74987975120734,57.97255617797213
2000,Bihar,prim,72.32082671811968,73.67326401331071
2000,Bihar,second,66.89989466670941,64.32986951877103
2000,Bihar,tech,59.38937226340806,55.95155046836042
2000,Chhattisgarh,prim,75.18859743332041,79.1834797452923
2000,Chhattisgarh,second,69.90242085807853,63.585392463518296
2000,Chhattisgarh,tech,60.33398155498115,59.91261901064608
2000,Goa,prim,76.51968048767112,75.33201035182708
2000,Goa,second,64.63192408428712,65.75731803743332
2000,Goa,tech,53.11767238770895,56.761722077037234
2000,Gujarat,prim,71.0941183968518,73.42947132156871
2000,Gujarat,second,62.85917227639884,65.20525414872698
2000,Gujarat,tech,63.17093636059964,56.40777853054997
2000,Haryana,prim,70.17251598188736,71.67351932701976
2000,Haryana,second,64.25503027139203,68.38004686731355
2000,Haryana,tech,61.18919620193867,56.63473734051759
2000,Himachal Pradesh,prim,72.36661101165014,75.3881982858523
2000,Himachal Pradesh,second,63.62836691934287,68.48889837624056
2000,Himachal Pradesh,tech,63.135241987149755,54.1894069218007
2000,Jammu and Kashmir,prim,74.10812072513474,78.47524258866636
2000,Jammu and Kashmir,second,61.45089090711816,68.05703637119386
2000,Jammu and Kashmir,tech,64.92392565203134,53.57091969504856
2000,Jharkhand,prim,78.75014456715397,76.31887792549009
2000,Jharkhand,second,69.87323881344811,65.27546806835365
2000,Jharkhand,tech,54.88006202200057,54.77299779957184
2000,Karnataka,prim,75.50946761117314,79.63519568221368
2000,Karnataka,second,63.633594860256025,61.19092444254527
2000,Karnataka,tech,57.01657896361327,50.53385346536852
2000,Kerala,prim,76.61535160279477,77.53567798027122
2000,Kerala,second,65.92496199937501,61.945206105521606
2000,Kerala,tech,51.353295089310485,51.701954338223175
2000,Madhya Pradesh,prim,71.15589691433829,77.9794466324879
2000,Madhya Pradesh,second,60.72873380175458,66.60536296625446
2000,Madhya Pradesh,tech,64.45749336038465,55.95901762182578
2000,Maharashtra,prim,78.69685874699428,71.35670059855421
2000,Maharashtra,second,62.644450236542134,64.67197042493065
2000,Maharashtra,tech,51.721322994486044,58.65275676172934
2000,Manipur,prim,78.07783026642312,74.64595710133631
2000,Manipur,second,60.99288419985199,63.93905760238995
2000,Manipur,tech,60.12238174531193,51.80594267739734
2000,Meghalaya,prim,78.16181248248007,76.97431807076245
2000,Meghalaya,second,67.24707067425493,67.06505810880135
2000,Meghalaya,tech,51.012981350867065,59.072995324687355
2000,Mizoram,prim,71.13270617750044,77.46956771430031
2000,Mizoram,second,66.36955170787286,60.04626362568973
2000,Mizoram,tech,53.04351997005106,57.91033538102096
2000,Nagaland,prim,76.27382175477143,78.76376692701619
2000,Nagaland,second,63.63538450246502,68.91832261466286
2000,Nagaland,tech,55.37780076158987,52.69985306847018
2000,Odisha,prim,76.70760492984341,76.52091206886692
2000,Odisha,second,64.33754088592806,61.314494142410624
2000,Odisha,tech,62.13444500913157,52.79034059475935
2000,Punjab,prim,72.40446151962446,70.3070565139001
2000,Punjab,second,68.82641838785635,66.0232152583093
2000,Punjab,tech,55.6624841825424,57.46068453902749
2000,Rajasthan,prim,71.73341939789017,74.05028591933666
2000,Rajasthan,second,69.7844408770651,65.4671791891138
2000,Rajasthan,tech,56.323434843501666,50.3873679303851
2000,Sikkim,prim,79.09340204160769,74.27386431520168
2000,Sikkim,second,63.4133131351698,67.66360644898873
2000,Sikkim,tech,56.912265788519626,53.37187224326721
2000,Tamil Nadu,prim,77.41742732192428,72.03657311956242
2000,Tamil Nadu,second,65.59500390726386,67.54504416197695
2000,Tamil Nadu,tech,61.602050870415304,59.207340633717976
2000,Telangana,prim,76.99351947743895,71.71306267580204
2000,Telangana,second,69.37722730162267,65.51021884735049
2000,Telangana,tech,55.97443540047344,52.26741718651179
2000,Tripura,prim,78.35998481966598,74.18407731598276
2000,Tripura,second,67.71499292623673,68.98629551421891
2000,Tripura,tech,57.335697871878224,51.375092033215
2000,Uttarakhand,prim,70.560350709999,70.92005748119689
2000,Uttarakhand,second,68.90852506385339,62.708621786461165
2000,Uttarakhand,tech,58.147768134901185,59.084883471733335
2000,Uttar Pradesh,prim,75.24123018671673,71.37928634389041
2000,Uttar Pradesh,second,69.17229947867341,69.63700727154406
2000,Uttar Pradesh,tech,53.37119191184776,53.25944461064989
2000,West Bengal,prim,71.44551170603847,72.13477783191259
2000,West Bengal,second,62.01036814335846,60.73393744440375
2000,West Bengal,tech,57.13330918386067,57.57565296227558
2000,Andaman and Nicobar Islands,prim,74.34000300542476,74.88580548920622
2000,Andaman and Nicobar Islands,second,61.323270662233284,68.61452760558313
2000,Andaman and Nicobar Islands,tech,52.95188870991569,56.155651225946706
2000,Chandigarh,prim,76.7903481798251,73.06414818485437
2000,Chandigarh,second,64.45614176034903,64.54223109853821
2000,Chandigarh,tech,55.0819148008449,59.31653054676586
2000,Dadra and Nagar Haveli,prim,76.58295236571259,77.36198998078693
2000,Dadra and Nagar Haveli,second,65.04984649386358,62.74858167161038
2000,Dadra and Nagar Haveli,tech,54.414072543748524,56.148384838628054
2000,Daman and Diu,prim,78.28959138018615,76.4075647516881
2000,Daman and Diu,second,63.1178554385777,65.36953420521303
2000,Daman and Diu,tech,60.288315426608825,50.217999212923864
2000,Delhi,prim,77.61299574384026,72.29153131998353
2000,Delhi,second,69.8459063279142,61.857634897659274
2000,Delhi,tech,52.56919745475788,54.06969103407894
2000,Lakshadweep,prim,74.71863006343197,78.66614393530246
2000,Lakshadweep,second,63.32791207258669,62.43890988543515
2000,Lakshadweep,tech,58.41211000930474,54.580233003713275
2000,Puducherry,prim,79.50205975583535,73.32132637582129
2000,Puducherry,second,65.16291519097788,60.759283700311805
2000,Puducherry,tech,54.92696354997638,54.926335285218094
2001,Andhra Pradesh,prim,79.83143741791221,80.5944915191076
2001,Andhra Pradesh,second,64.72516759276824,65.5110134207067
2001,Andhra Pradesh,tech,64.49785485855392,51.880907637764714
2001,Arunachal Pradesh,prim,79.96153376527741,78.73354552058127
2001,Arunachal Pradesh,second,66.90936223762334,69.82616045566135
2001,Arunachal Pradesh,tech,52.61274546359824,51.367913032851654
2001,Assam,prim,73.7326967165002,72.73872226088432
2001,Assam,second,63.17820668631709,68.18731511762952
2001,Assam,tech,62.48402861622873,52.30778733669121
2001,Bihar,prim,78.28545876485767,78.18504995124893
2001,Bihar,second,66.83566735345981,68.29559921036294
2001,Bihar,tech,61.768137228500294,56.47737991574252
2001,Chhattisgarh,prim,80.03144652642231,76.58599566003925
2001,Chhattisgarh,second,70.42938429646394,64.69264082103167
2001,Chhattisgarh,tech,64.35604129263032,55.49191444313329
2001,Goa,prim,80.89629860411519,76.35455771927872
2001,Goa,second,65.9308758968439,61.463243068502926
2001,Goa,tech,55.74919397455711,59.82872965889585
2001,Gujarat,prim,75.69896624191753,71.78945795176287
2001,Gujarat,second,61.359014730882535,68.52438067144854
2001,Gujarat,tech,56.938747749827,58.7600317004207
2001,Haryana,prim,77.22717206568345,75.98640353097237
2001,Haryana,second,63.61338393221867,64.93346404063365
2001,Haryana,tech,63.60982584986644,60.15020793744778
2001,Himachal Pradesh,prim,78.26626831176316,76.53865372169015
2001,Himachal Pradesh,second,66.94977142305746,70.1868097936304
2001,Himachal Pradesh,tech,53.82575064084545,56.852094495102
2001,Jammu and Kashmir,prim,72.41379666161266,79.09834900951114
2001,Jammu and Kashmir,second,61.43525188575972,67.70475873329372
2001,Jammu and Kashmir,tech,59.603032191470845,52.99536578274915
2001,Jharkhand,prim,79.92273788226593,74.57914532865155
2001,Jharkhand,second,65.3557906930598,67.52053668337746
2001,Jharkhand,tech,62.91156718183598,55.970897204942695
2001,Karnataka,prim,80.57961853111225,77.94432419347429
2001,Karnataka,second,62.53200724270191,67.52407786726226
2001,Karnataka,tech,51.83137433411349,60.2617969264551
2001,Kerala,prim,76.1098140949793,73.76172629675038
2001,Kerala,second,70.39676392495798,69.42273138219036
2001,Kerala,tech,59.71266409768833,57.777591447352485
2001,Madhya Pradesh,prim,78.83782876092091,78.93812461685388
2001,Madhya Pradesh,second,68.0406738637111,63.91757477346313
2001,Madhya Pradesh,tech,65.63755147973355,53.71720272893634
2001,Maharashtra,prim,78.65658716330367,76.04760457889243
2001,Maharashtra,second,69.79417296710726,65.02358073445521
2001,Maharashtra,tech,59.69915922950037,56.5726691968304
2001,Manipur,prim,71.51228469502904,74.66760435856334
2001,Manipur,second,69.14412750994241,62.68825679429058
2001,Manipur,tech,63.584582365729936,59.803116801119664
2001,Meghalaya,prim,72.49772693994828,74.4934847057635
2001,Meghalaya,second,66.42336664999893,64.33159568976001
2001,Meghalaya,tech,54.47202449686327,56.51102287258789
2001,Mizoram,prim,71.71423708165722,78.69277557316877
2001,Mizoram,second,68.26684553930585,62.39741716517326
2001,Mizoram,tech,52.87948837721993,57.15857513277978
2001,Nagaland,prim,77.01557592973714,73.97460424632405
2001,Nagaland,second,65.8024092136719,70.40757698320522
2001,Nagaland,tech,60.07570647292543,53.43352267722665
2001,Odisha,prim,76.96334063220556,80.99562994041288
2001,Odisha,second,66.15425051635323,69.26185200704363
2001,Odisha,tech,63.64687843147287,56.088190174097434
2001,Punjab,prim,74.96947642655505,72.20990491398294
2001,Punjab,second,65.95183833007623,63.906577467046006
2001,Punjab,tech,58.92374926022632,58.258181777682644
2001,Rajasthan,prim,76.8065562503613,72.21897352467276
2001,Rajasthan,second,65.11387816749037,67.26902513701091
2001,Rajasthan,tech,54.719391660055365,59.825057580846405
2001,Sikkim,prim,73.20213549884758,73.11565674815678
2001,Sikkim,second,64.6044003765639,62.48977769172016
2001,Sikkim,tech,63.486904652862776,54.70389372605351
2001,Tamil Nadu,prim,71.08231118846447,79.75795914642735
2001,Tamil Nadu,second,66.23719725257895,70.85893582770345
2001,Tamil Nadu,tech,61.1625661736105,60.61428717658778
2001,Telangana,prim,73.24676645827375,71.91776423355505
2001,Telangana,second,67.27278403409099,63.65243206506924
2001,Telangana,tech,55.246306815813014,51.085847285302485
2001,Tripura,prim,77.43410244875986,73.2689220738569
2001,Tripura,second,67.46481007084236,66.24851544705102
2001,Tripura,tech,52.44178210574169,59.22264312523062
2001,Uttarakhand,prim,71.110662942375,80.75390330642875
2001,Uttarakhand,second,67.1089370713903,66.69132339328378
2001,Uttarakhand,tech,64.68556057565787,58.15301995536819
2001,Uttar Pradesh,prim,79.52558769323704,73.32076715727501
2001,Uttar Pradesh,second,69.62374021525632,67.17644088314184
2001,Uttar Pradesh,tech,59.545995256732404,57.361458858105465
2001,West Bengal,prim,72.65703927484533,77.66329126421233
2001,West Bengal,second,69.29734450950298,61.475274459087984
2001,West Bengal,tech,65.86947000936189,59.01369138380133
2001,Andaman and Nicobar Islands,prim,75.92473058377234,71.79763759561749
2001,Andaman and Nicobar Islands,second,66.36621336472133,64.76092855330957
2001,Andaman and Nicobar Islands,tech,60.577624750638876,52.46402419903753
2001,Chandigarh,prim,73.72314923651008,75.50323106895432
2001,Chandigarh,second,66.80720090322745,66.97314640049139
2001,Chandigarh,tech,64.28980679114781,55.807351113920845
2001,Dadra and Nagar Haveli,prim,73.83834719818334,76.80974493781767
2001,Dadra and Nagar Haveli,second,64.64507290962156,61.520814650112605
2001,Dadra and Nagar Haveli,tech,51.65311299962569,57.37601178419145
2001,Daman and Diu,prim,76.06600258333368,75.18621824580245
2001,Daman and Diu,second,62.570989341739654,70.12202369852078
2001,Daman and Diu,tech,54.161873618723625,55.52065764774331
2001,Delhi,prim,79.25273406078706,72.3805243419075
2001,Delhi,second,68.89730809355426,67.48284697809909
2001,Delhi,tech,65.50213631616381,58.00011425602757
2001,Lakshadweep,prim,72.60759963971083,71.77201881637757
2001,Lakshadweep,second,62.10384831671261,69.94242715976472
2001,Lakshadweep,tech,58.4692994060457,51.359470188451986
2001,Puducherry,prim,78.9217063376979,77.18921916735688
2001,Puducherry,second,69.16469511853043,68.02531106799849
2001,Puducherry,tech,52.28724203665179,59.065281948996514
2002,Andhra Pradesh,prim,77.2509108862917,81.37782149132575
2002,Andhra Pradesh,second,67.97816757611419,62.97168520709029
2002,Andhra Pradesh,tech,54.58461141425784,61.04817650669489
2002,Arunachal Pradesh,prim,79.55687744305622,80.11833837034804
2002,Arunachal Pradesh,second,67.33450872989161,71.85537848322268
2002,Arunachal Pradesh,tech,65.73154623861457,60.77570356582227
2002,Assam,prim,80.43783555918831,78.94688953268874
2002,Assam,second,62.15654952588004,70.49218958337885
2002,Assam,tech,60.40139324408429,60.348395105144085
2002,Bihar,prim,77.41938683619024,78.45198552370714
2002,Bihar,second,68.86191126140048,69.61492534921761
2002,Bihar,tech,61.05376720630907,60.625378871522074
2002,Chhattisgarh,prim,72.85646564237071,79.38835992119341
2002,Chhattisgarh,second,62.312572516996354,63.76196594810613
2002,Chhattisgarh,tech,61.45735700179202,52.79611251708708
2002,Goa,prim,81.55818459996111,81.70404990363456
2002,Goa,second,64.73273688986873,67.18887222979515
2002,Goa,tech,57.75634735155771,61.40325161328824
2002,Gujarat,prim,73.57633271737568,77.93760880708888
2002,Gujarat,second,67.17353089483643,67.86528297647887
2002,Gujarat,tech,62.93158861324889,53.93085338703923
2002,Haryana,prim,74.9176107919055,81.38868544990719
2002,Haryana,second,71.90723221192242,71.13545787678927
2002,Haryana,tech,58.434260660002614,59.310271900545885
2002,Himachal Pradesh,prim,79.84994716337216,77.87084127419331
2002,Himachal Pradesh,second,66.39605031315679,65.87635628523608
2002,Himachal Pradesh,tech,57.14908205957996,52.009331878590125
2002,Jammu and Kashmir,prim,79.54504226034565,72.84453870313614
2002,Jammu and Kashmir,second,67.83885287929142,65.65957998679272
2002,Jammu and Kashmir,tech,56.72082147949105,58.62431750187831
2002,Jharkhand,prim,80.61462926492315,77.7419038791138
2002,Jharkhand,second,68.51374132052612,67.44526091368228
